steps,distance,trackerDistance,loggedActivitiesDistance,veryActiveDistance,moderatelyActiveDistance,lightActiveDistance,sedentaryActiveDistance,veryActiveMinutes,fairlyActiveMinutes,lightlyActiveMinutes,sedentaryMinutes,calories
4152.0,2.980000019,2.980000019,3.4165962489,1.514999986,0.670000017,2.960000038,0.01,26.0,25.9695652174,187.0,1253.0,2976.0
9043.0,6.070000172,6.070000172,3.4165962489,0.25,0.430000007,5.369999886,0.01,4.0,12.0,244.0,702.0,2141.0
9353.0,6.309999943,6.309999943,3.4165962489,0.370000005,0.689999998,5.239999771,0.01,5.0,17.0,363.0,1055.0,2035.0
6847.0,4.53000021,4.53000021,3.4165962489,0.610000014,0.370000005,3.549999952,0.01,9.0,9.0,251.0,1171.0,1969.0
6760.0,4.46999979,4.46999979,3.4165962489,1.514999986,0.670000017,4.46999979,0.01,26.0,25.9695652174,250.0,613.0,1929.0
14097.0,9.319999695,9.319999695,3.4165962489,3.5,1.919999957,3.900000095,0.01,50.0,32.0,234.0,595.0,2188.0
9776.0,7.380000114,7.380000114,3.4165962489,2.930000067,1.429999948,3.019999981,0.01,80.0,35.0,162.0,721.0,3378.0
8.0,0.01,0.01,3.4165962489,1.514999986,0.670000017,0.01,0.01,26.0,25.9695652174,1.0,1439.0,1778.0
5316.0,3.50999999,3.50999999,3.4165962489,1.514999986,0.670000017,3.50999999,0.01,26.0,25.9695652174,221.0,1219.0,1824.0
1905.0,1.24000001,1.24000001,3.4165962489,1.514999986,0.670000017,1.24000001,0.01,26.0,25.9695652174,95.0,1345.0,1342.0
10533.0,7.099999905,7.099999905,3.4165962489,1.769999981,2.059999943,3.269999981,0.01,21.0,35.0,255.0,615.0,2187.0
3271.0,2.190000057,2.190000057,3.4165962489,1.514999986,0.670000017,2.190000057,0.01,26.0,25.9695652174,205.0,898.0,2133.0
6895.5,4.964999914,4.960000038,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,1440.0,1324.0
5181.0,3.420000076,3.420000076,3.4165962489,1.0,0.910000026,1.50999999,0.01,15.0,15.0,107.0,1303.0,1776.0
5986.0,4.130000114,4.130000114,3.4165962489,1.950000048,0.230000004,1.950000048,0.01,23.0,5.0,195.0,789.0,2297.0
2275.0,1.679999948,1.679999948,3.4165962489,1.514999986,0.670000017,1.659999967,0.01,26.0,25.9695652174,86.0,1354.0,2005.0
20237.0,14.71000004,14.71000004,3.4165962489,2.569999933,6.400000095,5.730000019,0.01,34.0,141.0,347.0,918.0,4029.0
519.0,0.360000014,0.360000014,3.4165962489,1.514999986,0.670000017,0.360000014,0.01,26.0,25.9695652174,34.0,1406.0,2088.0
2910.0,1.889999986,1.889999986,3.4165962489,1.514999986,0.670000017,1.879999995,0.01,26.0,25.9695652174,157.0,1283.0,1452.0
5543.0,3.970000029,3.970000029,3.4165962489,1.514999986,0.670000017,3.960000038,0.01,26.0,25.9695652174,254.0,757.0,2990.0
1291.0,0.829999983,0.829999983,3.4165962489,1.514999986,0.670000017,0.829999983,0.01,26.0,25.9695652174,77.0,888.0,1961.0
6107.0,4.380000114,4.380000114,3.4165962489,1.514999986,0.670000017,4.360000134,0.01,26.0,25.9695652174,265.0,776.0,3313.0
